id,state,state_id,city,status,date_completed,url
235,Alabama,AL,Camden,completed,2022-03-10 20:03:56,http://www.usa.com/Camden-AL.htm
236,Alabama,AL,Elberta,completed,2022-03-10 20:04:02,http://www.usa.com/Elberta-AL.htm
237,Alabama,AL,Grove Hill,completed,2022-03-10 20:04:07,http://www.usa.com/Grove-Hill-AL.htm
238,Alabama,AL,Lillian,completed,2022-03-10 20:04:13,http://www.usa.com/Lillian-AL.htm
239,Alabama,AL,Harpersville,completed,2022-03-10 20:04:18,http://www.usa.com/Harpersville-AL.htm
240,Alabama,AL,Westover,completed,2022-03-10 20:04:23,http://www.usa.com/Westover-AL.htm
241,Alabama,AL,Ragland,completed,2022-03-10 20:04:28,http://www.usa.com/Ragland-AL.htm
242,Alabama,AL,Butler,completed,2022-03-10 20:04:33,http://www.usa.com/Butler-AL.htm
243,Alabama,AL,Summerdale,completed,2022-03-10 20:04:38,http://www.usa.com/Summerdale-AL.htm
244,Alabama,AL,Blountsville,completed,2022-03-10 20:04:44,http://www.usa.com/Blountsville-AL.htm
245,Alabama,AL,Coaling,completed,2022-03-10 20:04:49,http://www.usa.com/Coaling-AL.htm
246,Alabama,AL,Rehobeth,completed,2022-03-10 20:04:54,http://www.usa.com/Rehobeth-AL.htm
247,Alabama,AL,Vance,completed,2022-03-10 20:04:59,http://www.usa.com/Vance-AL.htm
248,Alabama,AL,Stewartville,completed,2022-03-10 20:05:05,http://www.usa.com/Stewartville-AL.htm
249,Alabama,AL,Marbury,completed,2022-03-10 20:05:10,http://www.usa.com/Marbury-AL.htm
250,Alabama,AL,Concord,completed,2022-03-10 20:05:15,http://www.usa.com/Concord-AL.htm
251,Alabama,AL,Gordo,completed,2022-03-10 20:05:20,http://www.usa.com/Gordo-AL.htm
252,Alabama,AL,Georgiana,completed,2022-03-10 20:05:25,http://www.usa.com/Georgiana-AL.htm
253,Alabama,AL,Ballplay,completed,2022-03-10 20:05:30,http://www.usa.com/Ballplay-AL.htm
254,Alabama,AL,Reform,completed,2022-03-10 20:05:35,http://www.usa.com/Reform-AL.htm
255,Alabama,AL,Rock Creek,completed,2022-03-10 20:05:40,http://www.usa.com/Rock-Creek-AL.htm
256,Alabama,AL,Mount Vernon,completed,2022-03-10 20:05:45,http://www.usa.com/Mount-Vernon-AL.htm
257,Alabama,AL,Sylvan Springs,completed,2022-03-10 20:05:50,http://www.usa.com/Sylvan-Springs-AL.htm
258,Alabama,AL,Blue Ridge,completed,2022-03-10 20:05:55,http://www.usa.com/Blue-Ridge-AL.htm
259,Alabama,AL,Webb,completed,2022-03-10 20:06:00,http://www.usa.com/Webb-AL.htm
260,Alabama,AL,Ardmore,completed,2022-03-10 20:06:05,http://www.usa.com/Ardmore-AL.htm
261,Alabama,AL,Malvern,completed,2022-03-10 20:06:10,http://www.usa.com/Malvern-AL.htm
262,Alabama,AL,Newton,completed,2022-03-10 20:06:16,http://www.usa.com/Newton-AL.htm
263,Alabama,AL,Stapleton,completed,2022-03-10 20:06:21,http://www.usa.com/Stapleton-AL.htm
